id_poligono;id_distrito;nombre_distrito;provincia;id_seccion;nombre_seccion;localidad;score_promedio;q_geo;indice_geo;q_estimada;q_personaspriorizadas;indice_hogares;hogares_estimados;observado;shape_texto
52;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";56.60116537180916;7446;0.8211;9068.3230;6923;2.01004;4511.518407587894;0;"POLYGON((-37.98628 -57.544713,-37.993518 -57.544756,-37.994939 -57.542782,-37.997137 -57.540936,-37.999099 -57.541537,-38.001026 -57.54158,-37.997644 -57.547975,-37.995446 -57.552223,-37.98628 -57.544713))"
54;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";38.9294436201781;1390;0.8211;1692.8511;529;2.01004;842.1985746097623;0;"POLYGON((-37.941044 -57.59059,-37.947711 -57.588916,-37.953328 -57.586985,-37.947846 -57.597628,-37.944327 -57.594881,-37.944868 -57.593722,-37.941044 -57.59059))"
55;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";37.36027736131937;1379;0.8211;1679.4544;364;2.01004;835.5336938035102;0;"POLYGON((-37.948083 -57.588444,-37.951806 -57.581234,-37.956374 -57.580075,-37.961754 -57.58441,-37.948083 -57.588444))"
56;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";41.16008289703323;2410;0.8211;2935.0871;1266;2.01004;1460.2147948274524;0;"POLYGON((-37.956712 -57.580032,-37.971768 -57.576127,-37.975287 -57.578402,-37.97417 -57.580848,-37.961855 -57.584367,-37.956712 -57.580032))"
57;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";42.21703740549151;5201;0.8211;6334.1858;3307;2.01004;3151.2768248542243;0;"POLYGON((-37.953531 -57.577844,-37.959622 -57.565742,-37.971836 -57.575698,-37.956069 -57.579861,-37.953531 -57.577844))"
58;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";51.95419963278237;6121;0.8211;7454.6340;5285;2.01004;3708.7032195603956;0;"POLYGON((-37.959724 -57.565527,-37.965577 -57.55394,-37.973494 -57.56012,-37.967607 -57.571921,-37.959724 -57.565527))"
59;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";50.9835745434725;7563;0.8211;9210.8148;6316;2.01004;4582.408503436168;0;"POLYGON((-37.967742 -57.572093,-37.973595 -57.560377,-37.981376 -57.566729,-37.975557 -57.578316,-37.972039 -57.576041,-37.972005 -57.57544,-37.968081 -57.572351,-37.967742 -57.572093))"
61;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";52.10719699444624;3166;0.8211;3855.8032;2672;2.01004;1918.2738756945937;0;"POLYGON((-37.975557 -57.578745,-37.981443 -57.5669,-37.986179 -57.570677,-37.980327 -57.582607,-37.975557 -57.578745))"
62;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";47.558628328485135;4567;0.8211;5562.0509;3696;2.01004;2767.1373311111056;0;"POLYGON((-37.980462 -57.582779,-37.986449 -57.570591,-37.991388 -57.574368,-37.98513 -57.586598,-37.980462 -57.582779))"
65;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";39.523858682634746;4278;0.8211;5210.0840;1660;2.01004;2592.032735382802;0;"POLYGON((-37.974137 -57.594366,-37.980192 -57.582736,-37.985029 -57.586813,-37.979075 -57.598572,-37.974137 -57.594366))"
66;2;Cordon7;"BUENOS AIRES";50;"General Pueyrredon";"GENERAL PUEYRREDON";42.31151124648548;4451;0.8211;5420.7770;2810;2.01004;2696.853133517585;0;"POLYGON((-37.974001 -57.594237,-37.969265 -57.590675,-37.975354 -57.578659,-37.980023 -57.582736,-37.974001 -57.594237))"
